LA,Name,BNG_E,BNG_N,LONG,LAT,GlobalID,Shape__Area,Shape__Length,SC,Pop,Store_Density,South check
E06000022,Bath and North East Somerset,366217,161999,-2.48654,51.35604,86952caf-92ea-4502-8768-d15d8dcd5791,351123167.5,141674.0709,4,193350,48337.5,South
E06000023,"Bristol, City of",359990,174846,-2.57742,51.47115,1f4c4dd9-0456-4108-8fea-64ee60a095b2,235441930.5,145449.6918,24,472415,19683.95833,South
E06000024,North Somerset,347614,166718,-2.75438,51.39706,8e61f8b3-e4c2-4c6a-966b-6714addf9264,390467165.6,140519.8279,7,216720,30960,South
E06000025,South Gloucestershire,367559,183198,-2.46922,51.54673,e05e407a-b125-427f-911f-82601f4bc0cd,536758456.1,159811.0663,11,290355,26395.90909,South
E06000026,Plymouth,249945,58255,-4.11297,50.40494,e8704389-008d-4644-8dad-21ccf356e738,84369818.63,63584.46742,4,264975,66243.75,South
E06000027,Torbay,289730,64613,-3.55523,50.47092,75866729-5a74-41d3-8940-1a40dd19410a,119452393.6,52377.84389,4,139265,34816.25,South
E06000030,Swindon,418551,186564,-1.73367,51.57763,9664ebeb-abc4-4649-8baf-d6581a634635,230093343.9,103011.7587,7,233350,33335.71429,South
E06000032,Luton,508606,222559,-0.42319,51.89102,d40e4812-8639-4930-b51c-8fdebaca0f69,43352485.67,34569.18471,6,225240,37540,South
E06000033,Southend-on-Sea,587777,186837,0.706923,51.54917,ec11b035-3158-4cec-ab8d-1c6485b5be98,67964151.33,72409.37212,4,180670,45167.5,South
E06000034,Thurrock,562123,181590,0.334861,51.50998,e0b6bad6-57d3-4703-b654-abeaaeb9e703,184431446.7,77780.63056,7,175990,25141.42857,South
E06000035,Medway,578207,175198,0.563174,51.44772,d20543b8-31b4-457c-ad47-9d64046d5ed7,268923292,92548.76535,7,279740,39962.85714,South
E06000036,Bracknell Forest,488169,168792,-0.73363,51.4113,f04dd657-a1ef-49bf-b53b-e5253c23a2b9,109384217.9,62507.66889,3,124815,41605,South
E06000037,West Berkshire,450575,172095,-1.27364,51.44559,df866168-e6a3-4ff9-83ef-d5c7aecec342,704182731.4,166818.2569,6,161455,26909.16667,South
E06000038,Reading,470226,173154,-0.99071,51.45302,612548cf-866c-4ef3-b82a-5acb6c62ffcd,40397937.12,39327.63613,7,174180,24882.85714,South
E06000039,Slough,498920,179246,-0.57617,51.5035,22aa4757-293f-49f1-a319-9618d9ce2610,32542015.68,44179.98033,5,158510,31702,South
E06000040,Windsor and Maidenhead,492079,176541,-0.67541,51.48034,b63e0886-b0aa-4c1d-b81f-98e94b7c7678,198427158.6,114827.8543,4,153730,38432.5,South
E06000041,Wokingham,476624,169902,-0.89935,51.42296,896d3570-860b-4592-889b-0cc5a4dc4a4e,178969062.9,86869.68924,5,177495,35499,South
E06000043,Brighton and Hove,530279,106850,-0.15079,50.8465,3e996943-6917-4b16-8537-8c80acb87700,85385921.63,58179.7309,5,277100,55420,South
E06000044,Portsmouth,465619,101352,-1.07006,50.808,10482e7f-3b02-4073-9524-fce7bd185945,60131417.42,42345.75616,10,208065,20806.5,South
E06000045,Southampton,442303,113700,-1.39952,50.9212,1d9d452d-8daf-4315-b5d4-a7755a3e50ea,56385148.87,37284.95052,10,248870,24887,South
E06000046,Isle of Wight,447183,85949,-1.33366,50.67129,7d1fba3f-b8f6-4f26-b0a9-acd30c332c75,392824490.5,124853.6149,0,140430,,South
E06000052,Cornwall,212497,64493,-4.64254,50.45022,681ce838-fdd8-4030-958e-f2c1c65e0bb7,3611926259,873551.5999,4,570360,142590,South
E06000053,Isles of Scilly,91327,11447,-6.30217,49.92332,736dcde5-f49e-4dec-affd-a5bb2e47dfa0,22851421.59,180267.1362,0,2060,,South
E06000054,Wiltshire,405209,158863,-1.92661,51.32883,7e0b94cb-eb82-4b3f-9578-5637b8a115c3,3255338106,401997.0737,23,511485,22238.47826,South
E06000056,Central Bedfordshire,504615,234492,-0.47754,51.99903,368f8db1-3cf8-40b7-b1f1-8564a08374d5,715665436.2,232685.1801,9,294365,32707.22222,South
